"lang" 
{ 
"Language" "Arabic" 
"Friends_WhenThisFriendComesOnline"			"כשהוא מחובר לרשת"
"Friends_WhenReceiveMessageFromThisFriend"	"כשהוא שולח לי הודעה"
"Friends_InviteInfo_HasAdded"					"הוסיף אותך ל-"
"Friends_InviteInfo_FriendsList"				"רשימת חברים"
"Friends_InviteInfo_BeenInvited"				"הזמנת אותך"
"Friends_InviteInfo_JoinGroup"				"להצטרף לקבוצת Steam"
"Friends_GroupEvent_NewEventScheduled"		"קבע אירוע חדש"
"Friends_GroupEvent_NowStarting"				"יש לו אירוע שמתחיל"
"Friends_GroupEvent_NewAccouncement"			"פרסם הודעה חדשה"

"Friends_GroupEvent_Title"					"%group% - אירוע החל"
"Friends_GroupEvent_View"						"צפה באירוע"

"Voice_Settings_NewTabTitle"		"קול במשחק"
"Voice_Settings_TabTitle"		"קול"
"Steam_RepairAudioDescription"				"(בעת חיבור או ניתוק מכשיר שמע, ייתכן שיהיה צורך לגלות מחדש את מכשירי השמע הפעילים.)"
"Steam_RepairAudioButton"		"גלה מכשירי שמע"
"Steam_VoiceMicGain"	"הגבר עוצמת מיקרופון"
"Steam_TestMicButton"		"בדוק מיקרופון"
"Steam_VoiceReceiveVolume"	"עוצמת קבלה"
"Steam_VoiceMicVolume"	"עוצמת מיקרופון"

"Friends_ViewGroupMembersLink"			"צפה בכל החברים"
"Friends_GroupCollapsedTooManyMembers"	"(יותר מדי חברים להצגה)"
"Friends_GroupCollapsedNoOtherMembers"	"(אין חברים אחרים להצגה)"

"Friends_ControlPanelLink"		"בית הקהילה"

"Friends_AchievementUnlocked_Headline"		"unlocked הישג!"
"Friends_AchievementUnlocked_Body"			"%achievement%"

"Friends_AchievementProgress_Headline"		"התקדמות בהישגים"
"Friends_AchievementProgress_Body"			"%achievement% (%cur%/%max%)"

"Friends_ChatURLWarning_Title"		"אזהרה: אתר אינטרנט שאינו של Steam"
"Friends_ChatURLWarning_Info"			"שים לב: הקישור אליו לחצת אינו אתר רשמי של Steam."
"Friends_ChatURLWarning_Info2"		"אם האתר מבקש ממך שם משתמש או סיסמה, אל תזין את המידע הזה. ייתכן שתאבד את חשבון Steam שלך וכל המשחקים שלך!"
"Friends_ChatURLWarning_Continue"		"אוקי, המשך לאתר"
"Friends_ChatURLWarning_DontAskAgainCheck"	"אל תציג לי זאת שוב"

"Friends_ChatPasswordWarning_Title"		"אזהרה: סיכון לבטחון החשבון"
"Friends_ChatPasswordWarning_Info"			"אזהרה: אתה עומד לשתף את הסיסמה שלך."
"Friends_ChatPasswordWarning_Info2"		"תמיכת Steam לעולם לא תזדקק לסיסמה שלך מכל סיבה שהיא. על ידי שיתוף הסיסמה שלך, ייתכן שתאבד את חשבון Steam שלך וכל המשחקים שלך!\n\nאתה בטוח שברצונך לשתף מידע זה?"
"Friends_ChatPasswordWarning_Continue"		"כן, שלח את הודעת הצ'אט שלי"
"Friends_ChatPasswordWarning_DontSend"		"לא, אל תשלח אותה"

"Friends_BlockCommunicationWarning_Title"	"חסום כל אינטראקציה עם %username%"
"Friends_BlockCommunicationWarning_Info"	"אתה עומד לחסום כל תקשורת עם %username%.\n\nהחסימה הזו תמנע גם ממך וממנו להצטרף לאותו משחק עם יכולות התאמת שחקנים של Steamworks."
"Friends_BlockCommunicationWarning_Info2"	"אתה עומד לחסום כל תקשורת עם %username%.\n\nלא תוכל לשלוח או לקבל הודעות או הזמנות משחקן זה.\n\nתוכל לבטל זאת על ידי ביקור בפרופיל Steam שלו או ביטול החסימה דרך רשימת החברים שלך."
"Friends_BlockCommunicationWarning_LinkInfo"	"מידע נוסף על התאמת שחקנים של Steamworks."
"Friends_BlockCommunicationWarning_DontAskAgainCheck"	"אל תציג לי זאת שוב"
"Friends_BlockCommunicationWarning_Block"	"חסום שחקן"
"Friends_BlockCommunicationWArning_Cancel"	"בטל"
"Friends_BlockCommunicationResult"	"%username% חוסם!\n\nכדי לבטל את החסימה לשחקן זה, בקר ברשימת החסומים שלך בקהילת Steam."
"Friends_BlockCommunicationResultUnblock"	"%username% בוטל החסימה!\n\nאתה יכול לבקר ברשימת החסומים שלך בקהילת Steam."
"Friends_BlockCommunicationResult_YourBlockedList"	"צפה ברשימת החסומים שלי"
"Friends_DefaultBlockCommunicationError" 			"הייתה בעיה בחסימת %username%."

"Friends_ChatIntro_Title"		"בקשה לשיחה"
"Friends_ChatIntro_Accept"	"אשר"
"Friends_ChatIntro_Decline"	"סרב"
"Friends_ChatIntro_Ignore"	"חסום"

"Friends_ChatIntro_Info"		"קיבלת בקשה לשיחה מהמשתמש הבא:"
"Friends_ChatIntro_Info2"		"אתם חברים בקבוצות משותפות הבאות:"
"Friends_ChatIntro_InfoChatRoom"	"אתם נמצאים יחד בחדר שיחה זה:"
"Friends_ChatIntro_Request"	"האם ברצונך לאשר את בקשת השיחה הזו?"		
"Friends_ChatIntro_DontShowCheckBox" "תמיד להסכים לבקשות שיחה ממשתמש זה."

"Friends_ChatIntro_WarningInfo" "תזכורת: Steam Support לעולם לא יצטרך לסיסמה שלך מכל סיבה שהיא. התעלם מבקשות סיסמה שאתה מקבל."

"Friends_Voice_MicrophoneDeviceLabel"	"התקן הקלט (אודיו)"
"Friends_Voice_ChangeDevice"			"החלף התקן..."
"Friends_Voice_ChangeDeviceNote"		"(פעולה זו תפתח את לוח הבקרה של Windows לשליטה בקול)"
"Friends_Voice_ChangingDevice_Title"	"Steam - החלפת התקן הקלט"
"Friends_Voice_ChangingDevice_Info"		"לוח הבקרה של Windows לאודיו פתוח כעת. לחץ על 'אישור' כשסיימת לשנות הגדרות."
"Friends_Voice_ChangingDevice_Button"	"בסדר, סיימתי לשנות הגדרות"
"Friends_Voice_NoDeviceDetected"		"[ לא נמצא התקן הקלט ]"
"Friends_Voice_PushToTalkKey"			"מקש לדבר"
"Friends_Voice_WhenActive"	"כאשר שיחת קול פעילה:"
"Friends_Voice_AutoTransmit"	"שלח את קולי אוטומטית בכל פעם שאני מדבר"
"Friends_Voice_PushToTalk"	"השתמש במפתח לדבר כדי לשדר קול"
"Friends_Voice_PushToMute"	"השתמש במפתח להשהות קול כדי לשתק קול"


"Friends_DownloadNotification_Steam" "Steam"
"Friends_DownloadNotification_Info" "סיים הורדה"

"Friends_PeerUploadNotification_Info" "העברת קבצי משחק ל-"

"Friends_SteamInputActionSetChangedTitle"	"סט מצעדי בקר"
"Friends_SteamInputActionSetChanged"	"%action_set%"
"Friends_SteamInputControllerPlayerNumberTitle"	"החלפת מקומות בקר"
"Friends_SteamInputControllerPlayerNumberChanged"	"%name% עכשיו שחקן מספר %player_number%"
"Friends_SteamInputControllerConnectedNotification_Info" "משתמש בהגדרות מ-"
"Friends_SteamInputControllerConfigNotification_Info" "ההגדרה נטען:"
"Friends_SteamInputControllerConfigNotification_Info2" "%config_name%"
"Friends_SteamInputControllerConfigNotification_Info3" "ערוך אותו מהשכבה של Steam"
"Library_ControllerSaveDefaultTitle" "הגדרה רשמית"
"SettingsController_AutosaveName" "אוטומטי שמירה אישי"
"SettingsController_SteamController" "בקרת Steam"
"controller_none"									"ללא"
"controller_unknown"								"בקרה לא ידועה"
"controller_steamcontroller_unknown"				"בקרת Steam"
"controller_steamcontroller_gordon" 				"בקרת Steam"
"controller_generic"								"בקר משחק כללי"
"controller_xbox360"								"בקר Xbox 360"
"controller_xboxone"								"בקר Xbox One"
"controller_ps3"									"בקר PlayStation 3"
"controller_ps4"									"בקר PlayStation 4"
"controller_wii"									"בקר Wii"
"controller_apple"									"בקר Apple"
"controller_android"								"בקר Android"
"controller_switch_pro"								"בקר Nintendo Switch Pro"
"controller_switch_joycon_pair"						"זוג בקרי JoyCon של Nintendo Switch"
"controller_mobile_touch"							"בקר Steam Link Touch"

"Friends_ScreenshotNotification_Info" "צילום מסך נשמר"
"Friends_ScreenshotNotification_Info_Multiple" "%screenshots% צילומי מסך נשמרו"
"Friends_ScreenshotErrorNotification_Info" "שגיאה בשמירת צילום מסך"

"Limited_OpenChat"	"פתח צ'אט"
"Friends_SteamCommunity"	"קהילת Steam"
"Limited_Explanation"	"החשבון שלך לא עומד בדרישות השימוש בתכונה זו."
"Limited_ForDetails"	"בקר באתר התמיכה של Steam לקבלת מידע נוסף."
"Limited_ForDetails_URL"	"https://help.steampowered.com/wizard/HelpWithLimitedAccount"

"Friends_Chat_RoomModerated_Entry"		"%member_making_change% שינה את חדר הצ'אט לשימוש קצינים בלבד.\n"
"Friends_Chat_RoomUnmoderated_Entry"		"The chat room has been set to all-users chat by %member_making_change%.\n"
"Friends_Chat_RoomUnmoderated_Info"			"רק קצינים בקבוצה יכולים לשלוח הודעות בצ'אט של קצינים בלבד"
"Friends_Chat_ModerateRoom"				"אפשר צ'אט רק לקצינים"
"Friends_Chat_UnmoderateRoom"			"נטרל צ'אט רק לקצינים (כל אחד יכול לצ'וט)"
"Friends_Chat_ModerateRoom_Status"			"רק קצינים בקבוצה יכולים לצ'אט"

"Friends_InviteToGame_Title"	"בחר חברים להזמנה"
"Friends_InviteToGame_Close"	"חזור למשחק"
"friends_invitetogame_action"	"הזמן"
"friends_invitetogame_done"		"הזמנה נשלחה"

"Friends_NoSoundSystems" "לא נמצאו מערכות קלט שמע במכונה שלך."
"Friends_SoundSystemName" "מכשיר"
"FriendsUI_SelectSoundSystem" "בחר התקן קלט שמע:"
"FriendsUI_SoundSystemTitle" "בחר קלט שמע"

"friends_ingametooltip"	"במשחק: %game%"
"friends_pendinginvites" "%invites% ממתינים"
"Friends_ViewInvitesOnCommunityPage" "ראה הזמנות בקהילה"
"friends_ignoreallinvites"	"התעלם מכל ההזמנות"
"friends_acceptallinvites"	"קבל את כל ההזמנות"
"friends_ignoreallsuggestedfriends"	"התעלם מכל חברי המשתמשים המוצעים"
"friends_inviteallsuggestedfriends"	"הזמן את כל חבריך המוצעים"
"friends_acceptrequest"	"אשר"
"friends_ignorerequest"	"התעלם"
"friends_blockrequest"	"חסום"
"friends_inviterequest" "הזמן"
"friends_acceptgrouprequest" "אשר"
"friends_ignoregrouprequest" "התעלם"
"friends_tooltip_voicesettings" "צפה בהגדרות קול"
"Friends_ViewGameStorePage"		"צפה בדף החנות של המשחק"
"Friends_ViewGameHub"		"צפה במרכז המשחק"
"Friends_WatchGame"			"צפה במשחק"

"friends_game_invite"		"%friend% הזמין אותך לשחק"
"friends_game_invite_action"		"לחץ כאן כדי להצטרף"

"friends_voice_friendendedcall"			"%friend% סיים את השיחה."

"friends_trade_invite"		"%friend% הזמין אותך לסחור בפריטים"
"friends_trade_invite_action"		"לחץ כאן לסחור"

"friends_trade_invite_sent"	"בקשה לסחר נשלחה ל-%friend%"
"friends_trade_invite_sent_waiting"	"מחכה לתגובה..."

"friends_trade_generic_failure"		"לא ניתן לסחור עם %friend%."
"friends_trade_declined"		"%friend% דחה את בקשת הסחר שלך."
"friends_trade_you_are_banned"		"לא ניתן לסחור עם %friend% משום שיש לך איסור סחר."
"friends_trade_they_are_banned"		"אין אפשרות לסחור עם %friend% כי יש לו איסור סחר."
"friends_trade_you_are_cafe"	"אינך יכול לסחור עם %friend% משום שאתה מחשבון בית קפה סייבר."
"friends_trade_they_are_cafe"	"לא ניתן לסחור עם %friend% כי הוא משתמש בחשבון בית קפה"
"friends_trade_you_are_school"	"אינך יכול לסחור עם %friend% משום שאתה בחשבון מעבדה בית ספרי"
"friends_trade_they_are_school"	"לא ניתן לסחור עם %friend% כי הוא משתמש בחשבון School Lab"
"friends_trade_they_are_blocked"	"אינך יכול לסחור עם %friend% משום שחסמת אותו."
"friends_trade_you_need_verified_email"		"עליך לאמת את כתובת הדוא\"ל שלך לפני שתוכל להשתתף במסחר. אמת את כתובת הדוא\"ל שלך מחלון ההגדרות."
"friends_trade_you_have_steam_guard_disabled"	"עליך להפעיל את Steam Guard לפני שתוכל להשתתף במסחר. הפעל את Steam Guard מחלון ההגדרות."
"friends_trade_you_havent_had_steam_guard_enabled_long_enough"	"עליך להפעיל את Steam Guard לפחות %days% ימים לפני שתוכל להשתתף במסחר."
"friends_trade_you_are_using_new_device"	" התחברת ממחשיב חדש. כדי להגן על הפריטים בתיק שלך, לא תוכל לסחור ממכשיר זה למשך %days% ימים."
"friends_trade_you_recently_reset_password"	"שחזרת לאחרונה את סיסמת חשבון Steam שלך. לא תוכל לסחור עד כ-5 ימים לאחר שחזור הסיסמה האחרון."
"friends_trade_you_recently_reset_password_long" "שחזרת לאחרונה את סיסמת חשבון Steam שלך לאחר חודשים של אי פעילות בחשבון. כדי להגן על הפריטים בתיק שלך, לא תוכל לסחור במשך %days% ימים נוספים."
"friends_trade_you_recently_reset_password_short" "שחזרת לאחרונה את סיסמת חשבון Steam שלך. כדי להגן על הפריטים בתיק שלך, לא תוכל לסחור במשך %days% ימים נוספים."
"friends_trade_you_recently_reset_password_oneday" "שחזרת לאחרונה את סיסמת חשבון Steam שלך. כדי להגן על הפריטים בתיק שלך, לא תוכל לסחור למשך יום נוסף."
"friends_trade_you_recently_changed_email"	"שינית לאחרונה את כתובת הדוא\"ל המחוברת לחשבון Steam שלך. לא תוכל לסחור עד חמישה ימים לאחר שינוי כתובת הדוא\"ל."
"friends_trade_you_recently_changed_email_days"	"שינית לאחרונה את כתובת הדוא\"ל המחוברת לחשבון Steam שלך. כדי להגן על הפריטים בתיק שלך, לא תוכל לסחור במשך %days% ימים נוספים."
"friends_trade_you_recently_changed_email_oneday" "שינית לאחרונה את כתובת הדוא\"ל המחוברת לחשבון Steam שלך. כדי להגן על הפריטים במלאי שלך, לא תוכל לסחור למשך יום נוסף."
"friends_trade_their_account_cannot_trade"	"%friend% אינו זמין למסחר. מידע נוסף יוצג ל-%friend% אם הוא מזמין אותך למסחר."
"friends_trade_trade_hold_for_cleared_trades_initiator"		"לא kannst להחליף עם %friend% כי ביטלת לאחרונה את כל הצעות המסחר שלך"
"friends_trade_would_exceed_max_asset_count"		"לא ניתן להשלים את העסקה זו משום שהיא תעלה על מספר המרבי של פריטים המותר במלאי שלך"

"friends_trade_they_are_trading"	"לא kannst להחליף עם %friend% כי הם עכשיו במסחר עם מישהו אחר."
"friends_trade_disabled"			"מסחר כרגע מושבת בשרת."
"friends_trade_not_logged_in"		"לא kannst להחליף עם %friend% כי הם לא מחוברים."
"friends_trade_cancelled"			"בקשת המסחר בוטלה."
"friends_trade_other_cancelled"		"%friend% ביקש להחליף איתך, אבל ביטל את הבקשה שלו."
"friends_trade_other_cancelled_timeout" "%friend% ביקש להחליף איתך, אבל לא ענית בזמן."
"friends_trade_too_soon"			"לא kannst להחליף עם %friend% כי זה מוקדם מדי לבקש שוב."
"friends_trade_too_soon_penalty"	"לא kannst להחליף עם %friend% כי שאלת יותר מדי פעמים - תוכל לנסות שוב בעוד כמה דקות."
"friends_trade_connection_failed"	"%friend% לא ענה לבקשת המסחר שלך."
"friends_trade_you_are_already_trading" "לא kannst לבקש מסחר חדש בזמן שאתה עדיין במסחר אחר."
"friends_trade_you_are_already_requesting_trade" "אתה יכול רק להחזיק בבקשה אחת למסחר פעילה."
"friends_trade_no_respond"			"%friend% לא ענה לבקשת המסחר."

"friends_trade_accepted"			"%friend% קיבל את בקשת המסחר שלך."
"friends_trade_you_accepted"		"קיבלת את בקשת המסחר מ-%friend%."
"friends_invite_to_trade"			"הזמנה למסחר"
"Friends_TradeInvitation_Info"		"הזמין אותך למסחר"
"friends_view_item_in_inventory"	"צפה במלאי"

"friends_voice_usedbygame"			"מיקרופון בשימוש במשחק"

"friends_group_tag_as"			"תג כ..."
"friends_group_edit_categories" 	"הגדר תגים לחבר זה כדי לעזור לך למצוא אותו במהירות. חברים עם תגים יאוגדו יחד ברשימת החברים שלך."
"friends_group_addtag"			"הוסף תגית"
"friends_group_edittags_title"		"%friend% - תגיות"

"friends_insertitem"			"הצג פריט מהאימנטורי שלך..."
"group_enterchatroom"			"הכנס לצ'אט קבוצתי"

"friends_giftreceived_info"		"שלח לך מתנה"
"friends_itemreceived_info"		"יש לך פריט חדש באימנטורי שלך"
"friends_itemsreceived_info"	"יש לך %items% פריטים חדשים באימנטורי שלך"
"friends_setnickname"			"הוסף כינוי"
"friends_setnickname_title"		"חברים - %friend%"
"friends_setnickname_info"		"הוסף כינוי קבוע לשחקן זה כדי לעקוב אחר מי הוא."
"friends_managefriends"			"נהל חברים"
"Friends_WebStatus_Tooltip"		"מחובר דרך האינטרנט"
"Friends_MobileStatus_Tooltip"	"מחובר באמצעות מכשיר נייד"
"Friends_BigPictureStatus_Tooltip"	"מחובר באמצעות Big Picture"
"Friends_VRStatusStatus_Tooltip" "מחובר ב-VR"

"friends_newturn_info" "תור אחד חדש ממך"
"friends_newturns_info" "%turns% תורים חדשים ממך"

"Friends_FriendInvitedToBroadcast_Title" "הזמנה - %friend%"
"Friends_FriendInvitedToBroadcast_Info" "הוזמנת לצפות במשחק שלך נשלחה ל-%friend% ."
"Friends_BroadcastInvite" "%friend% הזמין אותך לצפות בשידור שלו"
"Friends_BroadcastInviteNotification" "הזמין אותך לצפות בשידור שלו"
"Friends_Chat_InviteToBroadcast" "הזמן לצפייה"
"Friends_BroadcastApproveNotification" "רוצה לצפות בשידור שלך"
"Friends_BroadcastCantStart_Streaming" "לא ניתן לצפות בשידור שלך בזמן שידור ביתי"
"Friends_BroadcastApprove" "%friend% רוצה לצפות בשידור שלך"
"Friends_BroadcastApprove_Approve" "אשר"
"Friends_BroadcastApprove_Or" "או"
"Friends_BroadcastApprove_Ignore" "התעלם"

"Broadcast_FirstTime_Header" "ברוכים הבאים לשידורי Steam! כעת תוכל לצפות בשחקנים אחרים ולשדר את משחקיך עם Steam."
"Broadcast_FirstTime_PermissionHeader" "קח דקה כדי להגדיר את ההעדפות שלך..."
"Broadcast_FirstTime_DesktopOnly" "בברירת המחדל, ניתן לצפות רק בתוכן המשחק שלך. שולחן העבודה שלך לא ישודר."
"Broadcast_FirstTime_FAQ" "קרא את שאלות נפוצות על שידורי Steam"
"Broadcast_FirstTime_FAQLink" "https://support.steampowered.com/kb_article.php?ref=6730-TOAK-6497"
"Broadcast_FirstTime_Title" "שידורי Steam"
"Broadcast_FirstTime_OK" "אישור"
"Broadcast_FirstTime_Cancel" "ביטול"
"Broadcast_FirstTime_ViewerRequest" "%friend% רוצה לצפות בך משחק %gamename%"
"Broadcast_FirstTime_CompleteText" "תודה שבחרת את רשיונות השידור שלך."
"Broadcast_FirstTime_Configuration" "לצורך אפשרויות תצורה נוספות, כגון הקלטת מיקרופון ויישובי וידאו, בקר ב:"
"Broadcast_FirstTime_ConfigurationLink" "הגדרות שידור"

"Broadcast_Chat_Show_Profile" "הצג פרופיל"
"Broadcast_Chat_Mute_User" "שתק צופה"
"Broadcast_Chat_Muted" "%s1 הושתק."
"Broadcast_Chat_Joined" "%s1 הצטרף לצ'אט."
"Broadcast_Chat_Left" "%s1 עזב את הצ'אט."

"Broadcast_Notification_Title" "שידור"
"Broadcast_Notification_Joined_Public" "משתמש הצטרף לשידור הציבורי שלך"
"Broadcast_Notification_Stopped_Public" "כל המשתמשים הפסיקו לצפות בשידור הציבורי שלך"
"Broadcast_Notification_Is_Watching" "צופה בשידור שלך"
"Broadcast_Notification_AvailableToWatch_Title" "השידור מופעל!"
"Broadcast_Notification_AvailableToWatch_Friends" "החברים שלך יכולים להצטרף לשידור שלך בכל עת."
"Broadcast_Notification_AvailableToWatch_Public" "כל משתמש Steam יכול להצטרף לשידור שלך בכל עת."

"Steam_Settings_BroadcastTitle" "שידור"
"Steam_Settings_Broadcast_Disabled" "השידור מושבת"
"Steam_Settings_Broadcast_InviteOnly" "רק חברים שאני מזמין"
"Steam_Settings_Broadcast_FriendsApprove" "לחברים אפשר לבקש לצפות במשחקים שלי"
"Steam_Settings_Broadcast_FriendsAllowed" "לחברים אפשר לצפות במשחקים שלי"
"Steam_Settings_Broadcast_FriendsPublic" "לכל אחד אפשר לצפות במשחקים שלי"
"Steam_Settings_Broadcast_Bitrate3500" "3500 kbit/s"
"Steam_Settings_Broadcast_Bitrate3000" "3000 kbit/s"
"Steam_Settings_Broadcast_Bitrate2500" "2500 kbit/s"
"Steam_Settings_Broadcast_Bitrate2000" "2000 kbit/s"
"Steam_Settings_Broadcast_Bitrate1500" "1500 kbit/s"
"Steam_Settings_Broadcast_Bitrate1000" "1000 kbit/s"
"Steam_Settings_Broadcast_Bitrate750" "750 kbit/s"
"Steam_Settings_Broadcast_1080p" "1920x1080 (1080p)"
"Steam_Settings_Broadcast_720p" "1280x720 (720p)"
"Steam_Settings_Broadcast_480p" "854x480 (480p)"
"Steam_Settings_Broadcast_360p" "640x360 (360p)"
"Steam_Settings_Broadcast_IncludeDesktop" "הקלט וידאו מכל היישומים במחשב הזה"
"Steam_Settings_Broadcast_RecordSystemAudio" "הקלט שמע מכל היישומים במחשב הזה"
"Steam_Settings_Broadcast_RecordMic" "הקלט את המיקרופון שלי"
"Steam_Settings_Broadcast_ConfigMic" "הגדר מיקרופון"
"Steam_Settings_Broadcast_EnableHardwareSupport" "אפשר תמיכה בחומרה *"
"Steam_Settings_Broadcast_ShowDebugInfo" "הצג סטטיסטיקות העלאה"
"Steam_Settings_Broadcast_ShowReminderBanner" "הצג תמיד את מצב השידור החי"
"Steam_Settings_Broadcast_ShowChat" "הצג צ'אט צופים במשחק:"
"Steam_Settings_Broadcast_StatusHeader" "מצב שידור:"
"Steam_Settings_Broadcast_HelpHeader" "זקוק לעזרה?"
"Steam_Settings_Broadcast_HelpURL_Desc" "ראה עמודי תמיכה בשידורים"
"Steam_Settings_Broadcast_HelpURL_URL" "https://support.steampowered.com/kb_article.php?ref=6730-TOAK-6497"
"Steam_Settings_Broadcast_PermissionsHeader" "הגדרת פרטיות:"
"Steam_Settings_Broadcast_BitrateHeader" "שיעור ביט מירבי:"
"Steam_Settings_Broadcast_DimensionsHeader" "מימדי וידאו:"
"Steam_Settings_Broadcast_EncoderHeader" "אופטימיזציה לקידוד עבור:"
"Steam_Settings_Broadcast_EncoderQuality" "איכות наиטובה"
"Steam_Settings_Broadcast_EncoderPerformance" "ביצועים наиטובים"
"Steam_Settings_Broadcast_StatusNotBroadcast" "לא משדר"
"Steam_Settings_Broadcast_StatusBroadcast" "משדר"
"Steam_Settings_Broadcast_ShowChat_Off" "כיבוי"
"Steam_Settings_Broadcast_ShowChat_LeftTop" "פינה עליונה שמאלית"
"Steam_Settings_Broadcast_ShowChat_RightTop" "פינה עליונה ימנית"
"Steam_Settings_Broadcast_ShowChat_RightBottom" "פינה תחתונה ימנית"
"Steam_Settings_Broadcast_ShowChat_LeftBottom" "פינה תחתונה שמאלית"
"Steam_Settings_Broadcast_Disabled_System" "שידור Steam אינו נתמך כרגע במערכת הפעלה זו."
"Steam_Settings_Broadcast_Disabled_Overlay" "יש להפעיל את שכבת Steam כדי לשדר שידורים חיים."
"Steam_Settings_Broadcast_Disabled_User" "לחשבון שלך אין הרשאות מספיקות כדי לשדר שידורים חיים."
"Steam_Settings_Broadcast_Disabled_System_Windows_Compat_Enabled" "Steam לא יכול להתחיל שידור במכונה זו.\n\nWindows מריץ כרגע את Steam במצב תאימות של Windows, שיכול למנוע משידורי Steam לפעול כהלכה. אם המכונה הזו היא Windows 7 או גבוהה יותר, אנא עיין בדף התמיכה שלהלן כדי להסיר את מצב התאימות."
"Steam_Settings_Broadcast_WindowsCompatSupportURL" "https://support.steampowered.com/kb_article.php?ref=7153-AHJV-4256"
"Steam_Settings_Broadcast_WindowsCompatSupportText" "כיצד אני מנטרל את מצב התאימות?"
"Steam_Settings_Broadcast_RequiresRestart" "* דרוש אתחול המשחק לפני היישום"

"Broadcast_RecordingError_NoAudio" "Steam לא הצליח להקליט שמע לשידור זה"
"Broadcast_RecordingError_LowVideo" "Steam שינה את קידוד השידור ל\"ביצועים הטובים ביותר\""

"Broadcast_RecordingError_Title" "שידור - השמע לא מוקלט"
"Broadcast_RecordingError_General" "Steam לא הצליח להקליט שמע לשידור זה. אנא בקר במאמר התמיכה למטה לקבלת עזרה בפתרון הבעיה."
"Broadcast_RecordingError_URL_Text" "תמיכת Steam - שמע לא מוקלט"
"Broadcast_RecordingError_URL_General" "https://support.steampowered.com/kb_article.php?ref=1874-QRUJ-3541"
"Broadcast_RecordingError_Razer" "Steam לא הצליח להקליט שמע לשידור זה. אנא בקר במאמר התמיכה למטה וקרא את החלק \"חומרת שמע Razer\" לקבלת עזרה בפתרון הבעיה."
"Broadcast_RecordingError_URL_Razer" "https://support.steampowered.com/kb_article.php?ref=1874-QRUJ-3541#2"

"Broadcast_UploadError_Notification" "העלאת השידור נעצרה (%reason%)."
"Broadcast_Upload_Result_0"  "שגיאה לא ידועה"
"Broadcast_Upload_Result_1"  "אישור"
"Broadcast_Upload_Result_2"  "אתחול נכשל"
"Broadcast_Upload_Result_3"  "פריים נכשל"
"Broadcast_Upload_Result_4"  "זמן המתנה פג"
"Broadcast_Upload_Result_5"  "נתונים רבים מדי"
"Broadcast_Upload_Result_6"  "FPS נמוך"
"Broadcast_Upload_Result_7"  "חסרים פריימים מרכזיים"
"Broadcast_Upload_Result_8"  "אין חיבור"
"Broadcast_Upload_Result_9"  "שליחה נכשלה"
"Broadcast_Upload_Result_10" "ההגדרות שונו"
"Broadcast_Upload_Result_11" "חסר שמע"
"Broadcast_Upload_Result_12" "מאחור מדי"

"Steam_Settings_Browser"	"דפדפן אינטרנט"
"Overlay_SettingsBrowserDesc" "להלן ההגדרות החלות על דפדפן האינטרנט המשמש בתוך לקוח Steam ובשכבת ההצגה במשחק Steam."
"Steam_SettingsBrowserDeleteAllData"	"מחק נתוני דפדפן"
"Steam_SettingsBrowserDeleteAllDataMsg"	"למחוק את כל קבצי המטמון, העוגיות וההיסטוריה של דפדפן Steam?"

"RemotePlayTogether_Notification_AvailableToInvite_Title" "שחק יחד מרחוק"
"RemotePlayTogether_Notification_AvailableToInvite" "הזמן כל אחד לשחק עם קישור מרשימת החברים שלך."

} 
}  
